,1,2,3,4,5,6,7,8,9,10,11
,Gynae Clinics,laboratory,Psychology clinic,Eye (opthalmologyoptometry  optician) Clinics,physiotheraphy,dental clinic,ENT clinic,Rehabilitation Centre,Potrait clinic,Radiology,clinic
SECTION A-ORGANISATION AND MANAGEMENT,,,,,,,,,,,
Does the clinic have an organisational structure,?,?,?,?,?,?,?,?,?,?,?
Is the director a medically trained person?,?,?,?,?,?,?,?,?,?,?,?
SECTION B-STATUTORY REQUIREMENTS,,,,,,,,,,,
Does the facility have statutory requirements?,,,,,,,,,,,
Business registration,?,?,?,?,?,?,?,?,?,?,?
Work permits,?,?,?,?,?,?,?,?,?,?,?
Lease agreement,?,?,?,?,?,?,,?,?,?,?
Trading license,?,?,?,?,?,?,?,?,?,?,?
Permission to operate/set up,?,?,?,,,,,,,,
Occupancy certificate,?,?,?,?,?,?,?,?,?,?,?
Patient charter in English & Setswana,?,?,?,?,?,?,?,?,?,?,?
"Copies of relevant statutory instruments e.g. Public Health Act 2013, Botswana Health Professions Act,2001",?,?,?,?,?,?,?,?,?,?,?
Is there an indemnity insurance?,?,?,?,?,?,?,?,?,?,?
Have personnel been cleared by police?,?,?,?,?,?,?,?,?,?,?,?
contracts for staff,?,?,?,?,?,?,?,?,?,?,?
letter of permission to set up/operate,?,?,?,?,?,?,?,?,?,?,?
waste collection carrier licence,?,?,?,?,?,?,?,?,?,?,?
police clearance for employees,?,?,?,?,?,?,?,?,?,?,?
confidentiality clause,?,?,?,?,?,?,?,?,?,?,?
proof of change of land use,?,?,?,?,?,?,?,,,,
tax clearance certificate,?,?,?,?,?,,?,?,?,?,?
Practitioners licence,?,?,?,?,?,?,?,?,?,?,?
Fire clearance,?,?,?,?,?,?,?,?,?,?,?
work permits,?,?,?,?,?,?,?,?,?,?,?
residence permit,?,?,?,?,?,,?,?,?,?,?
contracts for staff,?,?,?,?,?,?,?,?,?,?,?
,,,,,,,,,,,
,,,,,,,,,,,
SECTION C-POLICIES AND PROCEDURES,,,,,,,,,,,
Does the clinic have policies and procedures for the following?,,,,,,,,,,,
referral systems,?,?,?,?,?,?,?,?,?,?,?
assessment of patients,?,?,?,?,?,?,?,?,?,?,?
treatment protocols,?,?,?,?,?,?,?,?,?,?,?
testing and treatment techniques,?,?,?,?,?,?,?,?,?,?,?
"high risk patients and procedures, and",?,?,?,?,?,?,?,?,?,?,?
the confidentiality of patient information,?,?,?,?,?,?,?,?,?,?,?
incident reporting,?,?,?,?,?,?,?,?,?,?,?
Induction and orientation,?,?,?,?,?,?,?,?,?,?,?
patient consent,?,?,?,?,?,?,?,?,?,?,?
Linen management,?,?,?,?,?,?,?,?,?,?,?
Equipment maintenance plan/program,?,?,?,?,?,?,?,?,?,?,?
Testing and commissioning certificates,?,?,?,?,?,?,?,?,?,?,?
Infection prevention and control,?,?,?,?,?,?,?,?,?,?,?
Management of patient records and retention times,?,?,?,?,?,?,?,?,?,?,?
Management of information ,?,?,?,?,?,?,?,?,?,?,?
Risk management ,?,?,?,?,?,?,?,?,?,?,?
Management of supplies,?,?,?,?,?,?,?,?,?,?,?
Patient observation,?,?,?,?,?,?,?,?,?,?,?
Management of medication,?,?,?,?,?,?,?,?,?,?,?
Post exposure prophylaxis,?,?,?,?,?,?,?,?,?,?,?
Complaints procedure,?,?,?,?,?,?,?,?,?,?,?
Outreach services,?,?,?,?,?,?,?,?,?,?,?
Waste management,?,?,?,?,?,?,?,?,?,?,?
